title	anidb	anilist	animenewsnetwork	animeplanet	anisearch	annict	imdb	kaize	kaize_id	kitsu	livechart	myanimelist	nautiljon	nautiljon_id	notify	otakotaku	shikimori	shoboi	silveryasha	simkl	themoviedb	trakt	trakt_type	trakt_season
Yuxi Chuanqi				yuxi-chuanqi				yuxi-chuanqi				46046					46046							
Yuyake Banchō			2373																					
Yuyoyuppe: cry				yuyoyuppe-cry						13497					Fzg4hFmig									
Yuyoyuppe: EZ DO DANCE				yuyoyuppe-ez-do-dance						13496					nC672Kiig									
Yuyoyuppe: I will find a star				yuyoyuppe-i-will-find-a-star						13495					dwen2Kmig									
Yuyoyuppe: Leia		129007		yuyoyuppe-leia						13494					aY6n2Fmig									
Yuyoyuppe: Reon				yuyoyuppe-reon						13493					jJ6nhFmig									
Yuyoyuppe: Story of Hope				yuyoyuppe-story-of-hope						13492					Xt6nhKmiR									
Yuyushiki	9366	15911	14576	yuyushiki	7993	2274				7338	846	15911	yuyushiki	2429	vvNFtFmmR		15911	2943		38159		70113	shows	1
Yuyushiki: Komarasetari, Komarasaretari	12036	98344		yuyushiki-komarasetari-komarasaretari	12139	5175		yuyushiki-komarasetari-komarasaretari	2110	12141	2124	33035			TU7RhFmmR		33035			571658				
Yuyushiki: Nyanyashiki		19029		yuyushiki-nyanyashiki	8868			yuyushiki-nyanyashiki	2036	7778	870	19029	yuyushiki+-+nyanyashiki	5431	uX5ptFmmg		19029							
Yuzhou Huwei Dui				yuzhou-huwei-dui	15197			yuzhou-huwei-dui				47640					47640							
Yuzhou Huwei Dui 2				yuzhou-huwei-dui-2	15228			yuzhou-huwei-dui-2				47642					47642							
Yuzhou Huwei Dui 3				yuzhou-huwei-dui-3				yuzhou-huwei-dui-3				47643					47643							
Yuzhou Huwei Dui: Fengbao Liliang												57459					57459							
Yuzhou Huwei Dui: Gang Jia Bawang Long												57317					57317							
Yuzhou Xing Shen				yuzhou-xing-shen-10-zhounian-zhong-zhiban				yuzhou-xing-shen				48035					48035							
YUZU7				yuzu-7																				
Yuzuki-san Chi no Yonkyoudai.	18015	164312	28074	the-yuzuki-familys-four-sons	18364	10735		yuzuki-san-chi-no-yonkyoudai	24605	47376	11989	55153	yuzuki-san+chi+no+yon+kyoudai.	11885	wi_n5-wVR	2619	55153	6796	4776	2152502		207318	shows	1
Yu☆Gi☆Oh!	593	550	790	yu-gi-oh	482	2301		yugioh	1132	507	3987	550			Yafo5KimR	640	550		1622	40228		36250	shows	1
Yu☆Gi☆Oh! (Movie)	1608	2006	2760	yu-gi-oh-movie-1	1590	3292		yugioh-movie	19464	1805	5325	2006			3RKY5Fiig		2006			38576		237885	movies	
Yu☆Gi☆Oh! 5D's	5739	3972	9404	yu-gi-oh-5ds	4740	2302		yugioh-5ds	19465	3387	4195	3972			JB3lcKmmg		3972	1340	2053	40337				
Yu☆Gi☆Oh! 5D's: Shinkasuru Kettou! Stardust vs. Red Demon's		21590		yu-gi-oh-5ds-evolving-duel-stardust-vs-red-demons	5576	11014		yugioh-5ds-shinkasuru-kettou-stardust-vs-red-demons	19466	4042	5870	5298			-3ICcKimR		5298							
Yu☆Gi☆Oh! Arc-V	10310	20552	15764	yu-gi-oh-arc-v	9402	3967		yugioh-arc-v	19467	8126	356	21639			pQ32pKmmR		21639	3351	1623	45754				
Yu☆Gi☆Oh! Duel Monsters	2061	481	5074	yu-gi-oh-duel-monsters	220	2304		yugioh-duel-monsters	1144	442	3803	481	yu-gi-oh!+duel+monsters	421	CHOT5FmiR		481	457	2051	37775		897	shows	1
Yu☆Gi☆Oh! Duel Monsters ALEX		123074																						
Yu☆Gi☆Oh! Duel Monsters Battle City Edition: Special Edition Road to Battle City										11343					-ko9pKiig									
Yu☆Gi☆Oh! Duel Monsters GX	2766	482		yu-gi-oh-gx	2618	2305		yugioh-duel-monsters-gx	2269	443	4014	482	yu-gi-oh!+duel+monsters+gx	139	AAdocFiig		482	329	2052	38936				
Yu☆Gi☆Oh! Duel Monsters: Battle City Special		5458		yu-gi-oh-duel-monsters-battle-city-special				yugioh-duel-monsters-battle-city-special	19468	4106	5401	5458			8ShCcKiig		5458							
Yu☆Gi☆Oh! Go Rush!!	17062	142842	25064	yu-gi-oh-go-rush	16995	9218		yugioh-go-rush	6728	45605	10955	50607			6qHOtaong	2258	50607	6310	3484	1809624		194337	shows	1
Yu☆Gi☆Oh! Hikari no Pyramid	2761	1894		yu-gi-oh-movie-2-pyramid-of-light	1310	3751	tt0403703	yugioh-hikari-no-pyramid	19477	1704	4830	1894			vSCfcKimR		1894		1624	39456		6189	movies	
Yu☆Gi☆Oh! Movie: Chou Yuugou! Toki wo Koeta Kizuna	7036	6951	11395	yu-gi-oh-3d-bonds-beyond-time	5761	3750	tt1587157	yugioh-movie-chou-yuugou-toki-wo-koeta-kizuna	2268	4802	4649	6951			zJVgtKiig		6951	3343	1625	38203				
Yu☆Gi☆Oh! Sevens	15017	114072		yu-gi-oh-sevens	14866	7210		yugioh-sevens	19478	42899	9531	40145			PxCft08Zg		40145	5611	303	1134841		159250	shows	1
Yu☆Gi☆Oh! The Dark Side of Dimensions	10963	21265	16671	yu-gi-oh-movie-4-the-dark-side-of-dimensions	10086	4820	tt4273562	yugioh-the-dark-side-of-dimensions	19469	10092	625	28771	yu-gi-oh!+-+the+dark+side+of+dimensions	4690	RkSypKmiR		28771		2054	445682		223544	movies	
Yu☆Gi☆Oh! The Dark Side of Dimensions Special: Eien no Rival - Yuugi to Kaiba!		102505		yu-gi-oh-the-dark-side-of-dimensions-special-eien-no-rival-yugi-to-kaiba				yugioh-the-dark-side-of-dimensions-special-eien-no-rival-yuugi-to-kaiba	19470	13094	7946	33997			J4SMhFmmg		33997							
Yu☆Gi☆Oh! VRAINS	12659	98231	19180	yu-gi-oh-vrains	12209	5187		yugioh-vrains	19471	13189	2475	34866			0laGhFmiR	781	34866	4592	2048	643727				
Yu☆Gi☆Oh! Zexal	8140	10015	12303	yu-gi-oh-zexal	6825	2303		yugioh-zexal	19472	5995	1560	10015			0r7ntFmmg		10015	2161	2049	38554				
Yu☆Gi☆Oh! Zexal Second	9400	15489	14736	yu-gi-oh-zexal-ii	8038	4014		yugioh-zexal-second	19473	7263	322	15489			brjdtFmiR		15489	2724	2050	40148				
Yu☆Gi☆Oh! Zexal Second: Iza! Saishuu Kessen e!! Special				yu-gi-oh-zexal-ii-iza-saishuu-kessen-e-special	10482			yugioh-zexal-second-iza-saishuu-kessen-e-special	19474	8250		21595			LV0TtKiig		21595							
Yu☆Gi☆Oh! Zexal Second: Midokoro Tenkomori Special				yu-gi-oh-zexal-ii-midokoro-tenkomori-special	9616			yugioh-zexal-second-midokoro-tenkomori-special	19475	7466		16576			zlXKtFmmR		16576							
Yu☆Gi☆Oh! Zexal Special		16574		yu-gi-oh-zexal-special	9659			yugioh-zexal-special	19476	7465	1009	16574			vEuFpFimg		16574							
Yīban Er				yiban-er				yiban-er				43669					43669							
Yōjo Shachō R			26354																					
Yōkai Watch ♪			24091																					
Yūsha Party o Oidasareta Kiyō Binbō			34914																					
Yūto-kun ga Iku			16258																					
Z Densetsu: Owari Naki Kakumei		123347																						
Z/X: Code Reunion	13441	100246	22388	zx-code-reunion	12817	6777	tt11070000	zx-code-reunion	4915	42307	1416	37268	z-x+code+reunion	7306	2Yu6OjWWR	1617	37268	5439	749	719539		151944	shows	1
Z/X: Ignition	9580	20486	15702	zx-ignition	8280	1072		zx-ignition	19614	8030	240	20533	z-x+ignition	2949	Fi-hpKiig	1609	20533	3264		45658		74175	shows	1
Zai Na Yaoyuan Di Difang				zai-na-yaoyuan-di-difang				zai-na-yaoyuan-di-difang	19615			47791					47791							
Zai Xia Ying Tai		137716								45500			zai+xia+ying+tai	10561										
Zaijian Romanesque										48504		57777					57777							
"Zaixia ""Yingtai"""				zaixia-yingtai																				
ZAIYUKI		162146																						
Zaiyuki Pilot			31228	zaiyuki								57702					57702							
Zakuro Yashiki		6272	7956	zakuro-yashiki	4432	14283		zakuro-yashiki	19616	4500		6272			sYXqcFiiR		6272			37470				
ZAN				zan							11693													
Zan Sayonara Zetsubou Sensei	6509	6377	10805	zan-sayonara-zetsubou-sensei	5373	840		zan-sayonara-zetsubou-sensei	6793	4537	3923	6377			S3g65FmmR	561	6377	1677		38827		42661	shows	3
Zan Sayonara Zetsubou Sensei Bangaichi	7214	7044	11478	zan-sayonara-zetsubou-sensei-bangaichi	5784	2730		zan-sayonara-zetsubou-sensei-bangaichi	6794	4847	4462	7044	zan+sayonara+zetsubo+sensei+bangai-chi	1777	kztgtFmiR	562	7044			37072				
Zang Ling Wangzhixue Yu Jingling				zang-ling-wangzhixue-yu-jingling	14276			zang-ling-wangzhixue-yu-jingling	19617			44896					44896							
