title	myanimelist	anidb	anilist	animenewsnetwork	animeplanet	anisearch	annict	hikka	imdb	kaize	kaize_id	kitsu	letterboxd_lid	letterboxd_slug	letterboxd_uid	livechart	nautiljon	nautiljon_id	notify	otakotaku	shikimori	shoboi	silveryasha	simkl	themoviedb	themoviedb_season_id	themoviedb_type	thetvdb	thetvdb_season_id	trakt	trakt_may_invalid	trakt_season	trakt_season_id	trakt_slug	trakt_type
Mao Zhi Ming	49380	16775	116010		cats-tea	16641		mao-zhi-ming-a99c28		mao-zhi-ming	13174	45412				10924	mao+zhi+ming	9158	BPF9yCHnR		49380		3211	1735831	134924	213004	tv	412114	1965702	190927	False	1	278999	cat-s-tea	shows
Mao Zhi Ming 2nd Season	54949	18701	159452		cats-tea-2nd-season	19177		mao-zhi-ming-2nd-season-da83f7		mao-zhi-ming-2nd-season	24416	47388							dRb4qvE4g		54949			3078872	134924	322056	tv	412114		190927	False	2	338333	cat-s-tea	shows
Mao Zhi Ming Specials	51000		145830		cats-tea-specials	17180		mao-zhi-ming-specials-cb78e2		mao-zhi-ming-specials	13176	45863									51000		3623		134924	243240	tv	412114		190927	False	0	338332	cat-s-tea	shows
Maou Evelogia ni Mi wo Sasage yo	47792	16057	129973	24048	everything-for-demon-king-evelogia	15995	8134	maou-evelogia-ni-mi-wo-sasage-yo-efe83e	tt15432528	maou-evelogia-ni-mi-wo-sasage-yo	13184	44550				10421	maou+evelogia+ni+mi+wo+sasage+yo	10106	A_LjHbnng		47792	6138	3139	1547001	118824	181586	tv	410768	1959719	188603	False	1	274059	everything-for-demon-king-evelogia	shows
Marika-chan no Koukando wa Bukkowareteiru	62983	19730	202523	38030	marikas-love-meter-malfunction	21024	16730	marika-chan-no-koukando-wa-bukkowareteiru-56a421	tt41395364	marika-chan-no-koukando-wa-bukkowareteiru	25617	50580				13398	marika-chan+no+koukando+wa+bukkowarete+iru	13753		3298	62983	7815	6164	2941080	315816	503788	tv	471300	2219980	317227	False	1	516806	marika-s-lovemeter-malfunction	shows
Mawangui Ttallo Taeeonatseumnida		20231															mawangui+ttallo+taeeonassseupnida	12589						3198580	254358	393646	tv	474277	2234628	239868	False	1	388622	the-adventures-of-a-demon-king-s-daughter	shows
Migawari Reijou wo Sukutta no wa Reikoku Mujihi na Koori no Ouji no Ai deshita	63878	20180	213665	38871		21421	17371	migawari-reijou-wo-sukutta-no-wa-reikoku-mujihi-na-koori-no-ouji-no-ai-deshita-62b9bc	tt41358179	migawari-reijou-wo-sukutta-no-wa-reikoku-mujihi-na-koori-no-ouji-no-ai-deshita		50649				13591	migawari+reijou+wo+sukutta+no+wa+reikoku+mujihi+na+koori+no+ouji+no+ai+deshita	14049		3372	63878		6260	3097141	326191	523947	tv	476227	2242740	322537	False	1	526386	saved-by-the-ice-cold-prince-s-embrace	shows
Miru: Watashi no Mirai	55727	18073	166373	28699	miru-watashi-no-mirai	18465	10931	miru-9bd57f	tt28400589	miru-watashi-no-mirai	25193	49848				12120			rMi0L3uIg	3061	55727	7404	5305	2193166	259466	402875	tv	436374		249063	False	1	403633	miru-paths-to-my-future	shows
Mofusand	63151	19783	204656	38172	mofusand	21129	16911	mofusand-a0cae6								13447	mofusand	14003			63151	7724		2972426	308934	490743	tv	472627	2227026	311697	False	1	505755	mofusand-the-animation	shows
Mori no Kuma-san, Toumin-chuu.	49460	16444	136796	24540	caressing-the-nipples-of-my-hibernating-bear	17391	8956	mori-no-kuma-san-toumin-chuu-edf1d0	tt26598191	mori-no-kuma-san-toumin-chuu	5380	47806				11212	mori+no+kuma-san+toumin-chuu	11157			49460	6404	4050		204269	297780	tv	421958	2008216	211890	False	1	338449	caressing-my-hibernating-bear	shows
Muzik Tiger In the Forest	58908	18639	177633	32735	muzik-tiger-in-the-forest	19298	15812	muzik-tiger-0e4d25	tt36534630							12662	muzik+tiger+in+the+forest+2	13609	0z5rYFoHg		58908			2747932	287704	448893	tv	450708	2130477	280925	False	1	455487	muzik-tiger-in-the-forest	shows
Muzik Tiger In the Forest 2nd Season	61924	19405	195383	37851	muzik-tiger-in-the-forest-2nd-season	20699	16303	muzik-tiger-in-the-forest-2nd-season-f4ede7		muzik-tiger-in-the-forest-2nd-season	25377						muzik+tiger+in+the+forest+2	13609			61924			2822146	287704		tv	450708	2209496	280925	True			muzik-tiger-in-the-forest	shows
Namui BL Manhwa Animation	50201		110211		someone-elses-bl-cartoon	19048		namui-bl-manhwa-animation-c3a78d		namui-bl-manhwa-animation	14265	44540									50201			1304028	105814	155962	tv	378937		174707	False	1	246756	someone-else-s-bl-cartoon	shows
Nanashi Kaidan	52814		156061	28814	nanashi-kaidan	17548	9714	nanashi-kaidan-131c51	tt33131788	nanashi-kaidan	5300	49428				11338	nanashi+kaidan	11312			52814		4238		206388	301530	tv	422579		260208	False	1	421980	nanashi-kaidan	shows
Nanashi Kaidan 2nd Season	56105		185642	28814	nanashi-kaidan-2nd-season		10977	nanashi-kaidan-2023-a5ab61	tt33131788			49429				12229					56105				206388	425741	tv	422579		260208	False	2	424190	nanashi-kaidan	shows
Nanashi Kaidan 3rd Season	59649		185669		nanashi-kaidan-3rd-season		13835	nanashi-kaidan-3rd-season-070c91	tt33131788			49430				12759					59649				206388	425742	tv	422579		260208	False	3	424192	nanashi-kaidan	shows
Nanyou Zong Zai Xiuluochang	51035				nanyou-zong-zai-xiuluochang			nanyou-zong-zai-xiuluochang-1843cd		nanyou-zong-zai-xiuluochang	14327						nan+you+zong+zai+xiu+luo+chang+-+picture+drama	9880			51035				284203	442300	tv			276270	False	1	447739	my-boyfriend-s-love-complex	shows
Neko ni Tensei shita Ojisan	58395	18532	176191	32407	neko-ni-tensei-shita-oji-san	19148	12788	neko-ni-tensei-shita-ojisan-d8e129	tt33614026	neko-ni-tensei-shita-ojisan	25097	48644				12587	neko+ni+tensei+shita+ojisan	12732	2uOyHl0Sg	2883	58395	7270	5188	2401490	248707	383153	tv	447354		230400	False	1	371866	cat-uncle-the-guy-that-got-reincarnated-as-a-cat	shows
Ni Zai Xing Guang Shen Chu	40994	19922	116620		ni-zai-xingguang-shenchu	18761		ni-zai-xing-guang-shen-chu-776b69		ni-zai-xing-guang-shen-chu		50347					ni+zai+xing+guang+shen+chu	9068	1GzAFSYGg		40994		789	3038250	103084	150083	tv	380081	1833496	160411	False	1	215678	stars-fall	shows
Nmeneko	60947	19197	186313	34414	nmeneko	20237	15165	nmeneko-087b2e	tt36534643	nmeneko	25286	49973				13023	nmeneko	13179	FK0Rj70NR		60947	7440		2731110	282984	439676	tv	459332		274690	False	1	444261	nmeneko	shows
Nomo no Kuni	61327	19253	192928		nomo-no-kuni	20456	15509	nomo-no-kuni-1eecee	tt37894312			49758	TUge	the-land-of-nomo	1332431	13121	nomo+no+kuni	13994	YWzdIS1HR		61327		5695	2747918	1455360		movie			1191403	False			the-land-of-nomo-2025	movies
Ochibi-san	56588	18182	168992	29776	the-diary-of-ochibi	18689	11116	ochibi-san-0874b6	tt29469464	ochibi-san	24697	48008				12322	ochibi-san	12125	HJgQKCzSR		56588	6838	4925	2250450	234642	356551	tv	439302	2082321	210080	False	1	334895	the-diary-of-ochibi	shows
Odekake Kozame Season 2	63125	19929	204269	38140	odekake-kozame-season-2	21157	16880	odekake-kozame-2nd-season-c0fa10		odekake-kozame-season-2		50459				13431					63125	7842		3042346	227218		tv	435306		207042	True			odekake-kozame	shows
Odoru Mowai-kun	40040	18766	110317	22286	odoru-mowai-kun	19511	15926	odoru-mowai-kun-889633		odoru-mowai-kun	14822	42427				9494	odoru+mowai-kun	9004			40040		1129	2520728	90848	127107	tv	366359	817242	149947	False	1	194270	odoru-mowai-kun	shows
Oide yo Mahou Shoujo Mura (Fuhou Senkyo)	61206	19282	187998	35145	oide-yo-mahou-shoujo-mura-fuhou-senkyo	20795	15706	oide-yo-mahou-shoujo-mura-fuhou-senkyo-d07edc		oide-yo-mahou-shoujo-mura-fuhou-senkyo	25320	49679				13091	oide+yo+mahou+shoujo+mura+-fuhousenkyo-	13579	DEdCgM0Ng		61206	7416		2832434	286487	446474	tv	461487	2177268	279400	False	1	452771	welcome-to-magical-girl-village-illegally-occupied	shows
Omae Umasou da na	9204	7655	9204	11715	heart-and-yummie	6556	8291	omae-umasou-da-na-85ae8d	tt1734113	omae-umasou-da-na	14919	5631	3avS	heart-and-yummie	75540	4728	omae+umasou+da+na	4239	42PZpFmiR		9204		5604	48306	89825		movie			66954	False			heart-and-yummie-2010	movies
Onaji Semi no Someya-san ga Sexy Joyuu datta Hanashi.	63619	19927	208685	38613	onaji-semi-no-someya-san-ga-sexy-joyuu-datta-hanashi	21548	17192	onaji-semi-no-someya-san-ga-sexy-joyuu-datta-hanashi-09902b		onaji-zemi-no-someya-san-ga-sexy-joyuu-datta-hanashi	25739					13613					63619	7947	6400	3174684	325473	522435	tv	474990	2237553						
Onee-chan Gokko	63396	19871	207084				17041	oneechan-gokko-467f23				50625				13487					63396		6149	3010520	312822	497966	tv	473516	2231286	315589	False	1	513479	playing-sister	shows
Onyankopon	35971	13294	100255	22918	onyankopon	12722	5535	onyankopon-255ce2		onyankopon		13908				2867	onyankopon	7325	GVQI2FmiR		35971	4746		703755	74472	93909	tv	337038	735640	124854	False	1	153165	onyankopon	shows
Pan no Akachan	64210	20054	212308	39556	pan-no-akachan-2026	21824	17562	pan-no-akachan-tv-2b336c		pan-no-akachan-tv	25738	50799				13632	pan+no+aka-chan	14168			64210			3120598	327228	526484	tv	479365	2255695	321701	False	1	525812	babies-of-bread	shows
Papa datte, Shitai	38797	14528	106165	21674	even-a-dad-still-wants-it	14024	6432	papa-datte-shitai-baee7c	tt10581726	papa-datte-shitai	5557	42017				8665	papa+datte,+shitai	8331	saijDXQmg		38797	5191		984459	85588	115665	tv	356486	789666	141634	False	1	177934	papa-datte-shitai	shows
Perfect Addiction	63514	20187	213666	38513		21285	17134	perfect-addiction-4ce7d8	tt43587112	perfect-addiction		50769				13528	perfect+addiction	13963			63514	7964	6424	3178024	314561	501484	tv	479026	2254435	320508	False	1	524459	perfect-addiction	shows
Pino & Shinoby				38673			17269									13550	pino+-+shinoby	14008				7833		3103139	318460	508617	tv	477456	2248016	318867		1	520632	pino-shinoby	shows
Plannosaurus Gachi Koseibutsu-bu	63641	20191	208824	38630		21310	17196	planosaurus-gachi-koseibutsu-bu-a96d57		plannosaurus-gachi-koseibutsu-bu	25736					13543	plannosaurus+gachi+koseibutsu+bu	14007			63641			3182444	328237	528945	tv	480144	2258885	323303				plannosaurus-serious-paleontology-club	shows
Pochars	59732	18912	182772	33465	pochars	19653	15120	pochaazu-02c620		pochars	25120					12821	pochars	13105	w1Minq6Ig		59732			2603458	270660	417017	tv	474219	2234376	254802	False	1	412949	pochars	shows
Quan Zhi Ming	56772	20007	174709		quan-zhi-ming	18796		quan-zhi-ming-2e69cd				48219					quan+zhi+ming	11969	_AX3Y6WSg		56772			3079852	134924	243240	tv	412114		190927	True			cat-s-tea	shows
Ra On-ui Namja	64779					21567		seeing-double-4acf32									raonui+namja	12345			64779				319728	510958	tv								
Renlei Bowuguan	42331	16763	120419		museum-of-humanity	15756		renlei-bowuguan-d5fad3		renlei-bowuguan		47612					ren+lei+bo+wu+guan	9593	YRVJ5SGMR		42331		1080	1735045	198959	289571	tv			269733	False	1	435239	humanity-museum	shows
Rilakkuma	60153	18936	183231	33781	rilakkuma	19730	14305	rilakkuma-95360d	tt41448834			50567				12891	rilakkuma	13571	hOGoq4GHg		60153		6187	2613906	299144	471545	tv	472971	2228707	296262	False	1	482232	rilakkuma	shows
Saioshi no Gikei wo Mederu Tame, Nagaiki shimasu!	61969	19809	199446	36820		20723	16285	saioshi-no-gikei-wo-mederu-tame-nagaiki-shimasu-bd187d				50484				13217	saioshi+no+gikei+wo+mederu+tame,+nagaiki+shimasu!	13494			61969	7723	6063	2985074	304023	481918	tv	469053	2210605	304828	False	1	495987	i-ll-live-a-long-life-to-dote-on-my-favorite-stepbrother	shows
Samishii Anata			199796						tt36492669																286275	446097	tv			279024	False	1	452298	samishii-anata	shows
Sanxian Lun Hui	63000	19759	153458		sanxian-lun-hui	21183		sanxian-lun-hui-84248b				50500					san+xian+lun+hui	11338			63000			2959948	297999	469122	tv	453132	2140732	294559		1	479299	secrets-of-the-rivers	shows
Secret Mission: Sennyuu Sousakan wa Zettai ni Makenai!	56497	18168	169728	29577	secret-mission-undercover-agents-never-back-down	18642	11099	secret-mission-sennyuu-sousakan-wa-zettai-ni-makenai-d59ab0		secret-mission-sennyuu-sousakan-wa-zettai-ni-makenai	24759	48177				12307	secret+mission+-+sennyuu+sousakan+wa+zettai+ni+makenai!	12418			56497	6843	5020		233643	354642	tv	430477	2044725	208753	False	1	332280	secret-mission-undercover-agents-never-back-down	shows
Shan Shantian Tianjian	60289	18946	206151		shan-shantian-tianjian			shan-shantian-tianjian-de3702											r_CvilHNR		60289			2619576	274511	423951	tv			260131	False	1	421846	shan-shantian-tianjian	shows
Sheng Shi Zhuang Niang	37209	13772	102446		the-beauty-blogger	13816		sheng-shi-zhuang-niang-20ba96		sheng-shi-zhuang-niang	21292	41037				8541	sheng+shi+zhuang+niang	7823	uzmK2KimR		37209		2699	762003	81743	108063	tv	357682	792326	142434	False	1	179490	the-beauty-blogger	shows
Shibuya♡Hachi	58447	18492	176577	35028	shibuya-hachi	19102	12587	shibuyahachi-b8e544								12528	shibuya♡hachi	12628	a81WOS-Ig		58447	7067	5177	2375582	246676	379701	tv	446097	2111197	226734	False	1	365496	shibuya-hachi	shows
Shibuya♡Hachi Part 2	59485	18822	181835	33142	shibuya-hachi-part-2	19649	13753	shibuyahachi-part-2-0433cd		shibuyahachi-part-2	25124					12852	shibuya♡hachi+part+2	12842	UQhrGqeSR		59485	7261		2596000	246676	379701	tv	446097	2111197	226734	True	1	365496	shibuya-hachi	shows
Shibuya♡Hachi Part 4	61922	19844	195173			21036	16302	shibuyahachi-part-4-a0c517		shibuyahachi-part-4						13212	shibuya♡hachi+part+4	13425			61922	7639	5955	2996990	246676	379701	tv	446097	2111197	226734	True	1	365496	shibuya-hachi	shows
Shibuya♡Hachi Part 4: Hachi to Shibuya wo Arukou!	63976						17133	shibuyahachi-part-4-hachi-to-shibuya-wo-arukou-b1ff12													63976				246676	512087	tv	446097		226734	False	0	519948	shibuya-hachi	shows
Shiguang Dailiren III	61607	19882	191832		link-click-3rd-season	20484		shiguang-dailiren-iii-78683d	tt14976292			49889				13155					61607		6027	3180260	123542	454061	tv	402033	2256080	179894	False	4	451724	link-click	shows
Shiguang Dailiren: Yingdu Pian	56752	19078	170166		link-click-bridon-arc	18756	16541	shiguang-dailiren-yingdu-pian-e5273c	tt14976292	shiguang-dailiren-yingdu-pian	25191	48133				12746	shi+guang+dai+li+ren+-+ying+dou+pian	12173	dxRL7wHNR		56752	7735	5494	2671728	123542	358607	tv	402033	2138424	179894	False	3	335273	link-click	shows
Shiguang Xiao Juchang	63957		210932			21380		shiguang-xiao-juchang-9d21b5				50691					shi+guang+xiao+ju+chang	13987			63957				123542	197171	tv	402033	1923436	179894	True	0	258292	link-click	shows
Shiye Mowang	60821	19154	168244		shiye-mowang	20202		shiye-mowang-5d3da4		shiye-mowang	25515	49920					shi+ye+mo+wang	12062	h8MFVSJHR		60821			2713388	283322	440346	tv	461561	2177570	275149	False	1	445175	the-laid-off-demon	shows
Shui Tun Tang Guan	48105	16748	122530		shui-tun-tang-guan			shui-tun-tang-guan-b0d4a4		shui-tun-tang-guan							shui+tun+tang+guan	9696			48105			1733513	118885	181795	tv			280222	False	1	454172	capybara-bathhouse	shows
Si Ge Yongzhe	55578	18236	156096		4-cut-hero	17910		si-ge-yongzhe-0025ba	tt28689252			46801					si+ge+yong+zhe	11542	fG5LcDRSR		55578			2274368	213424	314532	tv	437544	2074858	208032	False	1	330622	4-cut-hero	shows
Sumikko Gurashi: Koko ga Ochitsukun desu	61300	19305	188884	35315	sumikko-gurashi-koko-ga-ochitsukun-desu	20402	15774	sumikko-gurashi-koko-ga-ochitsukun-desu-e1e810		sumikko-gurashi-koko-ga-ochitsukun-desu	25321					13112					61300			2762880	288052	449450	tv			281203	False	1	456161	sumikko-gurashi-koko-ga-ochitsukun-desu	shows
The Bloody Mary	63939					21482	17253	the-bloody-mary-992e18				50663	12tye	the-bloody-mary	1536659						63939				1673091		movie								
Tianmei de Yaohen	44390	16043	122516		sweet-bite-mark	16112		tian-mei-de-yao-hen-f324db	tt22794846	tian-mei-de-yao-hen	5335	47038					tian+mei+de+yao+hen	9675	qzzaMVbGR		44390		4250	1990192	211437	310941	tv	423970		198685	False	1	304747	sweet-bite-marks	shows
Tom to Jerry Gokko	53907	19367	159454	34214	tom-to-jerry-gokko	17847	12337	tom-to-jerry-2022-d3ce48	tt23749170			46900				13181					53907			2799710	235973	358826	tv	427104	2029670	210261	False	1	335276	tom-jerry-gokko	shows
Tono to Inu	57924	18715	174390	31789	tono-to-inu	19453	13916	tono-to-inu-2eb9bb	tt34715295	tono-to-inu	25073	48460				12512	tono+to+inu	12560	jBs9LJhIg	2898	57924	7233	5279	2501992	270657	417014	tv	445259		254800	False	1	412947	the-corgi-and-the-samurai	shows
Tono to Issho: Gantai no Yabou	10324	8221	10324	12508	tono-to-issho-2	6836	1485	tono-to-issho-gantai-no-yabou-6e1fc6	tt15803372	tono-to-issho-gantai-no-yabou		6128				1557	tono+to+issho+-+gantai+no+yabou	6364	dhl7tFiiR		10324	2167		420632	36729	47844	tv	168561	512287	36573		2	48698	tono-to-issho	shows
Tono to Issho: Ippunkan Gekijou	8961	7598	8961	11546	tono-to-issho	6459	1484	tono-to-issho-ippunkan-gekijou-652823	tt15803372	tono-to-issho-ippunkan-gekijou		5553				7072	tono+to+issho	1914	vdKWtKmiR		8961	1984		37421	36729	47842	tv	168561	260221	36573		1	48697	tono-to-issho	shows
Tu Bian Yingxiong Leaf	35044	14380	98575		to-be-heroine	13510	6041	tu-bian-ying-xiong-leaf-e03328	tt10484890	tu-bian-ying-xiong-leaf	1681	40592				2653			ahFDhFiig		35044	4947		901539	68135	101701	tv	317682	757333	111667		2	161294	to-be-hero	shows
Tuanzimen de Shiming	51936		146648		tuanzimen-de-shiming	18014		tuanzimen-de-shiming-0dd204		tuanzimen-de-shiming	5385	47440					tuan+zi+men+de+shi+ming	11064			51936				297930	468998	tv			294465	False	1	479107	2022-294465	shows
Twins Hinahima	60521	19051		34172		20095	14897	twins-hinahima-14796a	tt36415390			49779	U2cE	twins-hinahima	1335484	12965	twins+hinahima	13369	-hQk3WbNR	3065	60521	7386	5735	2747906	1458643		movie			1194552	False			twins-hinahima-2025	movies
Uchi no Otouto-domo ga Sumimasen	63061	19755	203490	38115	uchi-no-otouto-domo-ga-sumimasen	21096	16808	uchi-no-otouto-domo-ga-sumimasen-3ad493	tt41293320	uchi-no-otouto-domo-ga-sumimasen	25727	50797				13417	uchi+no+otouto-domo+ga+sumimasen	13783		3262	63061	7906	6241	2958136	307585	488172	tv	471296	2219968	310231	False	1	503084	please-excuse-my-younger-brothers	shows
Ugoku! Neko Mukashibanashi	61254	19588	188529	34534	ugoku-neko-mukashibanashi	20152	15736	ugoku-neko-mukashibanashi-92309f				50670				13029	ugoku!+neko+mukashi-banashi	13605			61254		5906	2885504	297743	468652	tv	459743		294224	False	1	478700	ugoku-neko-mukashibanashi	shows
UniteUp!	53132	17639	154969	26381	uniteup	17740	10160	uniteup-bd2a0b	tt25808792	uniteup	6554	46526				11521	uniteup!	11442	FxV2lV44R	2496	53132	6592	4296	1999312	210899	309932	tv	426861	2028655	198616		1	304559	uniteup	shows
Uso Tantei Tomanto	62523	19875	199008	35852		20969	17335	uso-tantei-tomanto-e27b04								13337	uso+tantei+tomanto	13620			62523			3010580	301127	476115	tv			299427	False	1	488442	uso-tantei-tomanto	shows
Wanneng Lian Ai Zahuo Dian	57097	19302	166455		love-magic-grocery			wanneng-lian-ai-zahuo-dian-961538	tt31081017			48266					wan+neng+lian+ai+za+huo+dian	11895	N5gIhEcIR		57097			3111074	241626	369981	tv	447490	2117132	242627	False	1	393227	love-magic-grocery	shows
Wei Miao Rensheng	60591	19715	203710		wei-miao-rensheng	21028		wei-miao-rensheng-83bd98				50198					wei+miao+ren+sheng	13141			60591			2932222	305386	484397	tv	470398	2216368	307754		1	498962	reborn-as-a-cat	shows
Wei, Kanjian Erduo La!	38217	14306	104080	21367	look-i-can-see-your-ears	13834	6242	wei-kanjian-erduo-la-ff9c03		wei-kanjian-erduo-la	18521	41945				3479			NJ6fcv0mR		38217	5098		891929	89576	124527	tv	352327	780394	136842		1	172842	hey-your-cat-ears-are-showing	shows
Wei, Kanjian Erduo La! 2	39380	14733	107984	22046	look-i-can-see-your-ears-2	14195	6631	wei-kanjian-erduo-la-2-d64f23		wei-kanjian-erduo-la-2	18522	42158				9247			7YpN9d6iR		39380	5311		1055981	89576	153818	tv	352327	799730	136842	False	2	183973	hey-your-cat-ears-are-showing	shows
Wo Kai Dongwuyuan Naxie Nian	40208	15508	107911		those-years-i-opened-a-zoo	15327		wo-kai-dongwuyuan-naxie-nian-4accef		wo-kai-dongwuyuan-naxie-nian		43229				9865	wo+kai+dong+wu+yuan+na+xie+nian	8765	_bhmAD9Wg		40208		980	1329927	100881	145904	tv	379317	1830454	159930	False	1	214718	those-years-i-opened-a-zoo	shows
Wo Shi Xuexiao Weiyi de Renlei	54224	20280	160147		wo-shi-xuexiao-weiyi-de-renlei	18133		wo-shi-xuexiao-weiyi-de-renlei-206043		wo-shi-xuexiao-weiyi-de-renlei	24173						wo+shi+xue+xiao+wei+yi+de+ren+le	11679	f8SZ8E04R		54224				220193	328438	tv	434904	2063682	261315	False	1	423841	2023-261315	shows
World Is Dancing	63347	19849	206521	38337	world-is-dancing	21173	17057	world-is-dancing-180be8	tt41279522	world-is-dancing	25698	50690				13491	the+world+is+dancing	13882		3266	63347	7918	6130	3000422	312020	496445	tv	473018	2228951	314699		1	511651	the-world-is-dancing	shows
Wuxian Shaonu 48	41913	15638	115845		wuxian-shaonu-48	14577		wuxian-shaonu-48-65c175		wuxian-shaonu-48		43400				9954	wu+xian+shao+nu+48+infinite	8843	Ue6c9gkMR		41913			1391957	100947	146008	tv			251704	False	1	407964	infinite-girl-48	shows
Xi Jing Sushe	59182	18853	156108		xijing-sushe	19538		xi-jing-sushe-7975ed		xi-jing-sushe	24981	49167					xi+jing+su+she	11533	_TIePC6IR		59182			2572650	262295	407495	tv	451617	2134433	253025	False	1	409978	roommates-2024	shows
Xian Wang de Richang Shenghuo 5	60560	19691	185857		the-daily-life-of-the-immortal-king-5	20973		xian-wang-de-richang-shenghuo-5-043df5	tt11755260			50106				13354	xian+wang+de+ri+chang+sheng+huo+5	13142			60560		6072	2965274	98123	434325	tv	376751		158197	False	5	437046	the-daily-life-of-the-immortal-king	shows
Xiang Huo Er Sheng	60772	20279	166438		rising-in-the-fire	21642		xiang-huo-er-sheng-92f9e9									xiang+huo+er+sheng	12662	fsL0SI1Ng		60772				282056	438024	tv	461558	2177557	273462	False	1	442079	rising-in-the-fire	shows
Xiao Lu He Xiao Lan II: Mo Wang Pian	53448	18923	156105		beryl-and-sapphire-ii-mowang-pian	19485		xiao-lu-he-xiao-lan-2nd-season-0107cb				47912				11592			bIImpvgIg		53448			3105340	101201	347620	tv	352474		136057	False	2	328068	beryl-sapphire	shows
Xiao Lu He Xiao Lan IV: Mofa Pian	57520	18925	174713		beryl-and-sapphire-iv			xiao-lu-he-xiao-lan-4th-season-f9f11a								12531			uXdvBCTIR		57520			3105344	101201	369676	tv	352474		136057	False	4	349282	beryl-sapphire	shows
Xiao Lu He Xiao Lan V: Mofa Pian	58325	18926	175744		beryl-and-sapphire-v			xiao-lu-he-xiao-lan-5th-season-f8f857								12548			mAHmlpJSg		58325			3105346	101201	382393	tv	352474		136057	False	5	370538	beryl-sapphire	shows
Xiaolü He Xiaolan 3	56695	18924	174712		beryl-and-sapphire-iii			xiao-lu-he-xiao-lan-3rd-season-2a62f1								12530	xiao+lu+he+xiao+lan+3	12162	4CjeigMSg		56695			3105342	101201	358718	tv	352474		136057	False	3	335976	beryl-sapphire	shows
Xiling Jiyuan	50431	17996	141865		xyrin-empire	18372	14044	xiling-jiyuan-c9cb35	tt27696981	xiling-jiyuan	22261	47433					xi+ling+di+guo	10819	3TuURIf4g		50431	7265	5759	2490378	222779	333617	tv	433971	2059734	203850	False	1	320383	xyrin-empire	shows
Xue Yu Xin	51549	17714	126389		blood-and-heart	15948		xue-yu-xin-3c208b		xue-yu-xin	19084	46708					xue+yu+xin	9869			51549			2033900	204992	298975	tv			270773	False	1	437177	blood-heart	shows
Ya She	49573	16582	137663		ya-she	19668		ya-she-475a8a	tt34048201	ya-she	19091	46643				12107	ya+she	10603	tHM6VQNHR		49573			1721829	273190	421397	tv	453140	2140766	258219	False	1	418638	ya-she	shows
Yami Shibai 17	64435	20192	213359	40060	yamishibai-japanese-ghost-stories-17th-season	21749	17812	yami-shibai-17-1b1131	tt3111906	yami-shibai-17		50773				13674	yami+shibai+17	14205		3380	64435	7948		3182446	56559	523336	tv	271591	2257618	71821	False	17	524705	yamishibai-japanese-ghost-stories	shows
Yan Wang	49794	16628	137686		yan-wang-guai-hualang	16635		yan-wang-guai-hualang-849bc6		yan-wang-guai-hualang	19151	45517				11565	yan+wang+-+guai+hua+lang+-	10577			49794			1728823	139517	220972	tv			303954	False	1	494380	2021-303954	shows
Yani Neko	63403	19873	207141	38401	chainsmoker-cat	21218	17088	yani-neko-6fee93	tt39551330	yani-neko	25697	50551				13505	yani+neko	13908		3285	63403	7888	6147	3010576	312949	498243	tv	473423	2230916	315787	False	1	513656	chainsmoker-cat	shows
Yao Jing Zhong Zhi Shou Ce	41093	15436	114959		yao-jing-zhong-zhi-shou-ce	14926		yao-jing-zhong-zhi-shou-ce-22b15a	tt17056176	yao-jing-zhong-zhi-shou-ce	19172	43001				9924	yao+jing+zhong+zhi+shou+ce	9037	v6Tb3B8Wg		41093		391	1307319	94322	133632	tv	376486	1818639	157850	False	1	210126	demon-spirit-seed-manual	shows
Yeon-ui Pyeonji	60020		163788	39991	your-letter	17064	17347	yeon-ui-pyeonji-99aaa9	tt38266673	yeon-ui-pyeonji		50391	qSXC	your-letter	640780	13570	yeonui+pyeonji	12416			60020		6008	1374904	717787		movie			560371	False			your-letter-2025	movies
Yi Ren Zhi Xia 6	62246	19808	198749		hitori-no-shita-the-outcast-6	21097		yi-ren-zhi-xia-6th-season-18783d	tt12882132			50237				13428					62246		6110	2986122	67063	447115	tv	313488		108675	False	6	419254	hitori-no-shita-the-outcast	shows
Yoru wa Neko to Issho	51692	17336	148042	25574	nights-with-a-cat	17389	10117	yoru-wa-neko-to-issho-3d9635	tt21244528	yoru-wa-neko-to-issho	586	46090				11193	yoru+wa+neko+to+issho	11129	jKbAPEQ7g	2343	51692	6511	3848	1897462	199928	290655	tv	419448		196576	False	1	298375	nights-with-a-cat	shows
Yoru wa Neko to Issho Season 3	58199	18504	175137	32185	nights-with-a-cat-season-3	19094	12649	yoru-wa-neko-to-issho-season-3-9c0b4c	tt21244528	yoru-wa-neko-to-issho-season-3	25111	48567				12541	yoru+wa+neko+to+issho+season+3	12547	2zjEjlTSg		58199	7300		2383748	199928	290655	tv	419448		196576	True	1	298375	nights-with-a-cat	shows
You Shou Yan 5th Season	62955	19897	204394		there-are-beasts-5th-season	21494		you-shou-yan-5th-season-354f14	tt32894936			50566					you+shou+yan+5	13741			62955			3025910	139168	486081	tv	439866	2229166	204577	False	5	500789	fabulous-beasts	shows
You Shou Yan 6th Season	64461		213486		there-are-beasts-6th-season			you-shou-yan-6th-season-69c350	tt32894936			50815									64461				139168	524249	tv	439866	2256757	204577	False	6	525048	fabulous-beasts	shows
